Company Name,ESG Rating
SPARK NEW ZEALAND LIMITED,AA
NEW CHINA LIFE INSURANCE COMPANY LTD.,B
Xinjiang Daqo New Energy Co Ltd,CCC
Beijing New Building Materials Public Limited Company,CCC
"BAIC BluePark New Energy Technology Co., Ltd.",BBB
"ENN Natural Gas Co., Ltd.",A
"NH INVESTMENT & SECURITIES CO.,LTD",BBB
NHPC LIMITED,BB
ZHEJIANG NHU COMPANY LTD.,BB
"Jiangsu Nhwa Pharmaceutical Co., Ltd.",B
NISOURCE INC.,AAA
NICE LTD,AAA
Nippon Yusen Kabushiki Kaisha,AA
"Nippon Prologis REIT, Inc.",BBB
"NIPPON PAINT HOLDINGS CO., LTD.",A
"Dai Nippon Printing Co., Ltd.",AA
NMDC LIMITED,CCC
NN Group N.V.,AA
NORTHERN TRUST CORPORATION,A
NORTHERN STAR RESOURCES LTD,AA
"NRG ENERGY, INC.",BB
NTPC LIMITED,CCC
NTT DATA GROUP CORPORATION,A
Nu Holdings Ltd,BBB
NUCOR CORPORATION,AA
SABIC Agri-Nutrients Company SJSC,BB
"China National Nuclear Power Co., Ltd",BB
Lotus Bakeries NV,A
SYENSQO NV,A
GROEP BRUSSEL LAMBERT NV,A
Heineken N.V.,AA
NVIDIA CORPORATION,AAA
NXP Semiconductors N.V.,AAA
OTP Bank Nyrt.,BBB
MERCURY NZ LIMITED,AA
OWENS CORNING,AA
Oersted A/S,AAA
"Bank of Ningbo Co., Ltd.",BBB
"BANK OF NANJING CO., LTD.",BB
"BANK OF CHENGDU CO., LTD.",BB
"Bank of Jiangsu Co., Ltd.",BBB
"Bank of Suzhou Co., Ltd.",BBB
"BANK OF HANGZHOU CO., LTD.",BB
TUBE INVESTMENTS OF INDIA LIMITED,B
BANK OF MONTREAL,AA
China Oilfield Services Limited,CCC
MARATHON OIL CORPORATION,AA
S-Oil Corporation,BB
TOURMALINE OIL Corporation,A
INDIAN OIL CORPORATION LIMITED,BB
"OFFSHORE OIL ENGINEERING CO.,LTD.",BBB
"OKTA, INC.",A
OLYMPUS CORPORATION,BB
"OLD DOMINION FREIGHT LINE, INC.",AA
OMRON Corporation,AAA
OMV Aktiengesellschaft,AA
OMNICOM GROUP INC.,BBB
HACI OMER SABANCI HOLDING ANONIM SIRKETI,AA
ON SEMICONDUCTOR CORPORATION,A
LITE-ON TECHNOLOGY CORPORATION,AA
Global-E Online Ltd,A
HYDRO ONE LIMITED,AA
FORMULA ONE GROUP,BBB
CAPITAL ONE FINANCIAL CORPORATION,A
Ooredoo Q.P.S.C.,BBB
Open Text Corporation,AAA
PTT Oil and Retail Business Public Company Limited,AA
L'OREAL SA,AA
ORANGE SA,A
Orion Oyj,A
ORION CORP.,B
HELLENIC TELECOMMUNICATIONS ORGANIZATION S.A.,A
ORIGIN ENERGY LIMITED,BBB
"ORIENTAL LAND CO.,LTD.",AA
ORIENT OVERSEAS (INTERNATIONAL) LIMITED,BBB
ORIENT SECURITIES COMPANY LIMITED,AA
POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA,A
OTSUKA CORPORATION,BBB
OTIS WORLDWIDE CORPORATION,A
"Otsuka Holdings Co., Ltd.",A
FORD OTOMOTIV SANAYI ANONIM SIRKETI,B
TOFAS TURK OTOMOBIL FABRIKASI ANONIM SIRKETI,B
UNITED OVERSEAS BANK LIMITED,AA
CHINA OVERSEAS LAND & INVESTMENT LTD.,BBB
Elisa Oyj,AAA
Metso Oyj,AAA
KONE Oyj,AA
Nokia Oyj,AAA
